<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	08:00:00	12.74	12.79	12.52	12.58	8160	4590200	1
2023.01.02	12:00:00	12.57	12.61	12.40	12.50	15462	5311100	1
2023.01.02	16:00:00	12.48	12.56	12.45	12.56	12804	5094600	1
2023.01.03	08:00:00	12.53	12.72	12.48	12.69	11566	6507700	1
2023.01.03	12:00:00	12.70	12.73	12.57	12.68	20452	15083600	1
2023.01.03	16:00:00	12.70	12.70	12.50	12.54	14578	14772500	1
2023.01.04	08:00:00	12.63	12.67	12.45	12.64	6928	5851500	1
2023.01.04	12:00:00	12.62	12.81	12.61	12.68	15462	11548400	1
2023.01.04	16:00:00	12.68	12.71	12.56	12.61	12877	7361900	1
2023.01.05	08:00:00	12.63	12.69	12.52	12.67	6982	5232800	1
2023.01.05	12:00:00	12.66	12.75	12.54	12.57	22456	12748400	1
2023.01.05	16:00:00	12.58	12.66	12.56	12.65	28756	13050300	1
2023.01.06	08:00:00	12.65	12.71	12.53	12.59	6171	7167700	1
2023.01.06	12:00:00	12.59	12.71	12.55	12.66	10534	7653300	1
2023.01.06	16:00:00	12.66	12.71	12.63	12.67	8131	6068800	1
2023.01.09	08:00:00	12.64	12.81	12.62	12.69	5045	7081500	1
2023.01.09	12:00:00	12.70	12.79	12.65	12.73	16902	10859500	1
2023.01.09	16:00:00	12.73	12.75	12.68	12.74	14631	6507600	1
2023.01.10	08:00:00	12.62	12.80	12.61	12.76	5688	9462300	1
2023.01.10	12:00:00	12.75	12.83	12.68	12.81	12507	16600100	1
2023.01.10	16:00:00	12.82	12.92	12.81	12.87	9505	9472600	1
2023.01.11	08:00:00	12.84	13.08	12.34	12.42	19589	29157100	1
2023.01.11	12:00:00	12.42	12.61	12.39	12.56	21009	18215000	1
2023.01.11	16:00:00	12.56	12.64	12.47	12.64	19566	27047500	1
2023.01.12	08:00:00	12.21	12.52	12.08	12.33	21379	28982900	1
2023.01.12	12:00:00	12.32	12.53	12.23	12.53	20695	20530600	1
2023.01.12	16:00:00	12.52	12.54	12.38	12.48	15278	20446000	1
2023.01.13	08:00:00	12.39	12.43	12.22	12.42	9488	10912500	1
2023.01.13	12:00:00	12.41	12.43	12.24	12.29	14204	12817900	1
2023.01.13	16:00:00	12.29	12.34	12.18	12.28	14613	20560900	1
2023.01.16	08:00:00	12.14	12.16	11.70	11.89	21700	26800500	1
2023.01.16	12:00:00	11.88	11.96	11.66	11.77	27974	19818600	1
2023.01.16	16:00:00	11.77	11.79	11.66	11.68	12457	12217900	1
2023.01.17	08:00:00	11.77	12.24	11.68	12.21	16634	18913600	1
2023.01.17	12:00:00	12.20	12.29	12.14	12.25	59295	26559400	1
2023.01.17	16:00:00	12.25	12.35	12.24	12.27	35748	22670400	1
2023.01.18	08:00:00	12.33	12.44	12.17	12.42	11177	7696200	1
2023.01.18	12:00:00	12.42	12.44	12.17	12.25	19482	13461600	1
2023.01.18	16:00:00	12.25	12.27	12.15	12.19	7247	10996600	1
2023.01.19	08:00:00	12.10	12.19	12.06	12.12	6417	5733100	1
2023.01.19	12:00:00	12.11	12.26	12.08	12.11	20466	14739000	1
2023.01.19	16:00:00	12.09	12.11	11.99	12.06	24879	31327100	1
2023.01.20	08:00:00	11.99	12.05	11.83	12.04	11065	7489700	1
2023.01.20	12:00:00	12.03	12.07	11.87	11.98	24393	14671500	1
2023.01.20	16:00:00	11.98	12.03	11.97	11.97	10257	11423600	1
2023.01.23	08:00:00	12.00	12.11	11.84	11.93	10892	5877300	1
2023.01.23	12:00:00	11.93	11.97	11.85	11.93	33668	11272100	1
2023.01.23	16:00:00	11.93	11.93	11.82	11.88	22252	12789100	1
2023.01.24	08:00:00	11.87	11.96	11.81	11.86	5599	3218800	1
2023.01.24	12:00:00	11.86	11.97	11.85	11.93	9410	5791800	1
2023.01.24	16:00:00	11.93	12.04	11.90	12.04	8274	8812000	1
2023.01.25	08:00:00	11.99	12.06	11.92	11.97	8041	3182800	1
2023.01.25	12:00:00	11.96	12.15	11.93	12.07	21142	11811800	1
2023.01.25	16:00:00	12.07	12.16	12.07	12.13	12319	7026400	1
2023.01.26	08:00:00	12.12	12.26	12.07	12.11	4753	3053300	1
2023.01.26	12:00:00	12.11	12.12	11.97	12.11	10745	8197700	1
2023.01.26	16:00:00	12.11	12.21	12.09	12.15	5009	11542400	1
2023.01.27	08:00:00	12.17	12.17	12.05	12.13	4988	4471800	1
2023.01.27	12:00:00	12.13	12.17	12.02	12.05	8040	9759700	1
2023.01.27	16:00:00	12.05	12.11	12.04	12.08	9349	9672800	1
2023.01.30	08:00:00	12.11	12.12	11.98	12.06	16860	5184100	1
2023.01.30	12:00:00	12.06	12.08	11.92	12.02	28830	12584300	1
2023.01.30	16:00:00	12.02	12.04	11.89	11.97	15803	15082300	1
2023.01.31	08:00:00	12.05	12.10	11.94	12.04	5390	5335400	1
2023.01.31	12:00:00	12.04	12.05	11.99	12.00	12674	11440700	1
2023.01.31	16:00:00	11.99	12.16	11.99	12.09	15274	18832700	1
2023.02.01	08:00:00	12.07	12.15	11.55	11.57	19496	34292700	1
2023.02.01	12:00:00	11.58	11.66	11.37	11.65	41072	65544900	1
2023.02.01	16:00:00	11.65	11.80	11.50	11.66	17516	36824500	1
2023.02.02	08:00:00	11.56	11.97	11.51	11.69	12751	12796000	1
2023.02.02	12:00:00	11.70	11.78	11.62	11.65	17479	21912100	1
2023.02.02	16:00:00	11.65	11.66	11.53	11.60	12530	15022500	1
2023.02.03	08:00:00	11.56	11.65	11.42	11.61	9822	9273100	1
2023.02.03	12:00:00	11.61	11.70	11.43	11.50	16396	18827000	1
2023.02.03	16:00:00	11.49	11.52	11.45	11.48	8949	12468300	1
